index,G1,G2,G3,G4,G5,G6,G7
2015-06-10,14.85,18.400000000000002,18.7,20.066666666666666,18.075,21.833333333333332,20.16
2015-06-11,10.75,12.200000000000001,11.8,14.733333333333334,14.125,18.666666666666668,20.56
2015-06-12,7.5,8.933333333333334,8.6,10.366666666666667,10.600000000000001,14.299999999999999,17.52
2015-06-13,8.2,12.5,11.25,13.566666666666668,11.9,15.533333333333333,19.06
2015-06-14,11.3,12.433333333333332,12.35,12.9,13.100000000000001,17.1,20.22
2015-06-15,9.350000000000001,5.833333333333333,8.8,9.3,6.0,12.366666666666667,11.6
2015-06-16,11.2,7.5,9.9,10.3,6.8,11.4,10.42
2015-06-17,10.5,11.799999999999999,11.75,12.1,13.099999999999998,14.933333333333332,16.54
2015-06-18,8.2,8.133333333333333,8.575000000000001,8.766666666666666,9.15,14.566666666666668,16.36
2015-06-19,6.25,4.866666666666667,6.074999999999999,6.5,4.375,12.166666666666666,11.96
2015-06-20,10.3,10.333333333333334,11.975000000000001,12.366666666666667,9.8,13.9,14.1
2015-06-21,10.95,14.433333333333332,14.875,16.933333333333334,13.250000000000002,17.400000000000002,16.78
2015-06-22,12.0,15.966666666666669,15.125,16.7,15.95,19.233333333333334,17.32
2015-06-23,7.6,8.4,9.25,11.466666666666669,11.625,15.266666666666666,17.14
2015-06-24,10.05,8.733333333333333,10.25,11.133333333333333,9.475,14.566666666666668,14.280000000000001
2015-06-25,14.05,12.366666666666665,14.325,16.099999999999998,10.775,15.799999999999999,14.059999999999999
2015-06-26,15.1,13.200000000000001,15.924999999999999,16.833333333333332,11.825000000000001,17.000000000000004,14.819999999999999
2015-06-27,14.9,12.799999999999999,16.45,17.23333333333333,11.4,16.933333333333334,14.38
2015-06-28,15.6,13.766666666666666,16.75,18.066666666666666,12.899999999999999,16.9,14.4
2015-06-29,16.85,14.799999999999999,17.075,16.766666666666666,13.925,17.900000000000002,15.720000000000002
2015-06-30,15.85,13.566666666666668,16.125,15.6,12.3,18.566666666666666,16.1
2015-07-01,10.45,12.4,11.925,12.9,12.225000000000001,17.099999999999998,16.1
2015-07-02,11.3,13.233333333333334,13.25,14.833333333333334,12.100000000000001,16.7,15.0
2015-07-03,13.0,12.833333333333334,13.625,12.733333333333334,13.4,18.466666666666665,15.280000000000001
2015-07-04,9.35,5.6000000000000005,8.8,7.033333333333334,5.525,14.6,11.900000000000002
2015-07-05,9.05,8.366666666666667,8.95,9.233333333333333,6.750000000000001,13.466666666666667,10.84
2015-07-06,11.7,12.6,13.174999999999999,13.4,11.075,15.833333333333334,14.679999999999998
2015-07-07,11.85,13.4,13.575,15.133333333333335,13.4,17.266666666666666,16.02
2015-07-08,13.149999999999999,12.299999999999999,13.799999999999999,13.866666666666667,12.0,16.833333333333332,15.339999999999998
