index,G1,G2,G3,G4,G5,G6,G7
2007-03-01,24.9,22.75,26.75,27.8,27.925000000000004,23.933333333333334,26.76666666666667
2007-03-02,24.85,21.666666666666668,26.35,21.725,23.3375,22.916666666666668,23.75
2007-03-03,24.875,19.883333333333333,25.325,20.45,20.862499999999997,22.05,23.416666666666668
2007-03-04,25.650000000000002,21.78333333333333,26.05,24.9,26.1125,23.599999999999998,26.183333333333334
2007-03-05,26.2625,22.8,27.9,24.5,26.487499999999997,24.133333333333336,26.849999999999998
2007-03-06,26.174999999999997,22.883333333333336,26.550000000000004,23.8,26.3125,24.666666666666668,27.8
2007-03-07,25.912499999999998,22.5,27.625,25.0,26.0875,24.116666666666664,26.75
2007-03-08,25.775,22.2,25.975,27.5,27.775,23.900000000000002,28.366666666666664
2007-03-09,25.9625,22.266666666666666,28.025,22.825000000000003,24.0625,22.666666666666668,23.316666666666666
2007-03-10,25.125,21.033333333333335,25.575,21.7,21.624999999999996,19.116666666666664,21.166666666666668
2007-03-11,24.625,20.666666666666668,24.6,20.2,21.075,20.366666666666667,21.55
2007-03-12,24.962500000000002,20.883333333333333,25.325,21.525,22.6,21.816666666666666,22.916666666666668
2007-03-13,23.362500000000004,20.866666666666664,24.599999999999998,22.450000000000003,24.7875,22.71666666666667,25.25
2007-03-14,24.3375,20.400000000000002,24.85,25.275,25.962500000000002,21.933333333333337,26.183333333333334
2007-03-15,24.55,20.45,26.775000000000002,25.299999999999997,25.3875,22.366666666666664,24.866666666666664
2007-03-16,24.575,21.166666666666668,25.674999999999997,22.525,23.650000000000002,21.083333333333332,24.183333333333337
2007-03-17,22.075000000000003,16.916666666666668,23.0,21.275,21.725,16.999999999999996,21.833333333333332
2007-03-18,22.6,19.016666666666666,24.15,21.925,21.587500000000002,19.35,20.98333333333333
2007-03-19,20.225,16.516666666666666,23.174999999999997,22.35,21.1,17.7,21.3
2007-03-20,20.712500000000002,17.23333333333333,23.674999999999997,21.950000000000003,22.225,18.533333333333335,22.26666666666667
2007-03-21,21.8125,19.2,24.35,21.424999999999997,22.587500000000002,20.566666666666666,22.7
2007-03-22,23.137500000000003,20.133333333333333,24.1,23.0,24.775,21.350000000000005,25.483333333333334
2007-03-23,23.987499999999997,21.383333333333336,25.2,25.25,26.375,23.100000000000005,26.5
2007-03-24,25.225,20.966666666666665,25.625,20.825000000000003,23.0375,21.916666666666668,24.600000000000005
2007-03-25,25.15,21.5,24.975,21.775,22.512500000000003,22.083333333333332,23.349999999999998
2007-03-26,25.8,22.166666666666668,24.775,23.15,23.849999999999998,23.28333333333333,25.283333333333335
2007-03-27,26.5625,22.516666666666666,25.575000000000003,22.275,26.6,23.96666666666667,27.7
2007-03-28,27.0375,24.233333333333334,26.450000000000003,22.625,26.8625,25.066666666666663,29.400000000000002
2007-03-29,27.1,23.616666666666664,26.45,24.325,26.725,25.616666666666664,29.45
2007-03-30,26.2875,23.133333333333336,27.55,27.7,28.85,25.866666666666664,29.53333333333333
2007-03-31,26.387500000000003,22.8,26.975,23.0,24.549999999999997,23.71666666666667,24.183333333333334
2007-04-01,25.6875,20.48333333333333,24.575,21.799999999999997,22.725,22.2,24.96666666666667
2007-04-02,26.5625,21.95,24.7,22.375,24.6125,23.166666666666668,26.583333333333332
2007-04-03,26.575000000000003,22.316666666666663,25.875,22.6,22.25,22.5,23.083333333333332
2007-04-04,24.474999999999998,20.133333333333333,23.975,21.35,22.9375,20.633333333333336,23.866666666666664
2007-04-05,23.525000000000002,19.216666666666665,22.725,20.125,21.2125,19.016666666666666,23.28333333333333
2007-04-06,22.025,17.266666666666666,22.575000000000003,20.95,21.1,19.016666666666666,21.23333333333333
2007-04-07,21.137500000000003,18.4,22.35,22.575,22.0375,18.849999999999998,20.366666666666667
2007-04-08,21.975,17.183333333333334,25.3,20.475,20.725,18.383333333333333,20.766666666666666
2007-04-09,20.35,16.516666666666666,22.975,18.1,19.4375,16.96666666666667,20.049999999999997
2007-04-10,21.0125,16.45,21.575,18.450000000000003,19.7375,17.650000000000002,20.666666666666668
2007-04-11,22.1875,17.73333333333333,22.549999999999997,21.924999999999997,22.675,19.066666666666666,23.333333333333332
2007-04-12,22.225,15.416666666666666,22.475,17.924999999999997,20.275,17.883333333333333,20.950000000000003
2007-04-13,20.174999999999997,15.4,22.125,15.6,18.3375,18.083333333333332,19.55
2007-04-14,23.262500000000003,16.700000000000003,22.2,20.95,20.7125,18.46666666666667,19.183333333333334
2007-04-15,23.175,20.216666666666665,24.35,22.1,22.674999999999997,21.383333333333336,22.316666666666666
2007-04-16,23.8375,20.833333333333332,23.85,21.700000000000003,23.2125,21.76666666666667,25.8
2007-04-17,23.65,21.01666666666667,23.7,23.549999999999997,24.1875,22.349999999999998,26.233333333333334
2007-04-18,22.512500000000003,20.75,23.75,24.450000000000003,24.849999999999998,21.98333333333333,26.549999999999997
2007-04-19,23.200000000000003,19.05,24.099999999999998,25.5,25.375,21.333333333333332,25.75
2007-04-20,23.387500000000003,20.816666666666666,24.85,25.075,25.725,22.116666666666664,25.900000000000002
2007-04-21,23.5125,19.683333333333334,25.3,21.799999999999997,25.7625,21.849999999999998,26.583333333333332
2007-04-22,22.799999999999997,19.416666666666668,23.6,23.275,26.4125,21.98333333333333,26.099999999999998
2007-04-23,24.075000000000003,19.933333333333334,24.3,23.625,25.775,21.516666666666666,25.933333333333334
2007-04-24,25.174999999999997,18.666666666666668,24.674999999999997,19.925,22.212500000000002,21.383333333333336,21.5
2007-04-25,22.925,16.8,23.225,17.85,19.725,18.2,20.599999999999998
2007-04-26,21.225,15.316666666666668,22.225,15.85,15.7875,14.4,16.333333333333332
2007-04-27,18.5625,9.950000000000001,18.025,13.375,12.8375,9.799999999999999,13.5
2007-04-28,15.375,11.283333333333333,18.275,14.05,14.4375,12.75,14.733333333333334
2007-04-29,18.9875,14.200000000000001,20.025,16.1,17.7375,15.66666666666667,18.0
2007-04-30,20.8,15.033333333333333,20.35,17.35,19.175,16.650000000000002,20.383333333333333
2007-05-01,20.975,16.46666666666667,20.799999999999997,19.25,20.6,18.5,23.48333333333333
2007-05-02,22.325000000000003,15.683333333333332,21.875,19.549999999999997,20.25,17.333333333333332,21.383333333333336
2007-05-03,20.95,16.483333333333334,21.125,18.25,19.2875,17.516666666666666,18.65
2007-05-04,20.8375,16.05,21.4,18.6,22.1125,18.883333333333333,23.63333333333333
2007-05-05,22.075,18.5,22.75,19.099999999999998,23.224999999999998,20.316666666666666,24.583333333333332
2007-05-06,21.7125,18.98333333333333,23.775,17.9,22.1125,20.7,22.433333333333337
2007-05-07,22.200000000000003,15.199999999999998,20.075000000000003,13.325000000000001,14.325,14.6,15.483333333333334
2007-05-08,18.3625,8.683333333333334,15.825,10.925,10.475000000000001,7.933333333333334,10.5
2007-05-09,11.525,5.216666666666668,14.175,11.475000000000001,10.05,5.433333333333334,9.616666666666667
2007-05-10,12.649999999999999,8.549999999999999,17.125,13.75,12.8875,11.483333333333334,13.1
2007-05-11,16.8875,12.083333333333334,18.15,15.85,17.5125,14.0,17.349999999999998
2007-05-12,19.1875,13.116666666666665,17.85,13.45,15.1,14.366666666666667,17.133333333333333
2007-05-13,19.6875,11.299999999999999,15.625,11.899999999999999,10.1125,10.2,13.433333333333332
2007-05-14,21.0,12.666666666666666,17.0,14.95,14.862499999999999,11.4,12.616666666666665
2007-05-15,18.887500000000003,12.883333333333333,18.375,14.425,16.65,14.6,15.883333333333335
2007-05-16,20.65,15.166666666666666,18.9,14.35,14.537499999999998,14.4,15.616666666666667
2007-05-17,21.025,14.283333333333331,15.775,10.825,11.350000000000001,10.933333333333332,12.733333333333334
2007-05-18,20.3125,12.549999999999999,16.025,10.975000000000001,11.137500000000001,9.633333333333333,11.116666666666667
2007-05-19,17.3125,12.65,17.075,11.925,11.4375,12.366666666666665,12.449999999999998
2007-05-20,18.0625,12.333333333333334,18.125,12.85,15.3625,14.483333333333334,15.683333333333332
2007-05-21,20.0625,12.950000000000001,19.2,14.575,18.200000000000003,15.233333333333333,16.583333333333332
2007-05-22,19.2375,13.35,20.075,14.4,16.799999999999997,15.433333333333332,17.61666666666667
2007-05-23,14.5875,8.816666666666666,16.3,11.5,11.412500000000001,10.366666666666665,11.566666666666668
2007-05-24,10.575000000000001,5.400000000000001,14.725,10.65,9.0125,5.716666666666666,8.566666666666666
2007-05-25,11.4375,8.116666666666667,13.225,11.075,10.05,8.833333333333334,10.266666666666667
